LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,E12000007,London,1465,1465,0,112.9,876,1.7,0.13332076895011347,1,1,0,7.500706813161154,E09000001,City of London
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,E12000007,London,1436,1436,0,62.9,830,1.7,0.2261912732178333,0,0,0,0.0,E09000001,City of London
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,E12000007,London,1346,1250,96,227.7,817,1.5,0.05730296656737917,0,0,0,0.0,E09000001,City of London
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,E12000007,London,985,985,0,52.0,467,2.1,0.19073876063900264,6,6,0,31.456637234608873,E09000001,City of London
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1703,1699,4,116.2,543,3.1,0.14419584695491547,0,0,0,0.0,E09000002,Barking and Dagenham
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1391,1391,0,69.6,612,2.3,0.1981348093601674,1,1,0,5.047068726738523,E09000002,Barking and Dagenham
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1544,1544,0,79.1,521,3.0,0.19342509906710295,0,0,0,0.0,E09000002,Barking and Dagenham
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1773,1773,0,138.6,638,2.8,0.12859152625297474,3,3,0,23.329686546360595,E09000002,Barking and Dagenham
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,2840,2840,0,80.7,1103,2.6,0.3488483424100588,4,4,0,11.466300720724487,E09000002,Barking and Dagenham
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1634,1628,6,178.2,457,3.6,0.09029767985855273,0,0,0,0.0,E09000002,Barking and Dagenham
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1901,1895,6,136.8,698,2.7,0.14035344942365036,0,0,0,0.0,E09000002,Barking and Dagenham
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1660,1660,0,79.9,650,2.6,0.2086258607208714,0,0,0,0.0,E09000002,Barking and Dagenham
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1656,1622,34,48.5,638,2.5,0.3401768219618933,0,0,0,0.0,E09000002,Barking and Dagenham
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,2241,2241,0,79.9,836,2.7,0.27999586782872815,0,0,0,0.0,E09000002,Barking and Dagenham
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1637,1637,0,82.3,626,2.6,0.19612992784200808,0,0,0,0.0,E09000002,Barking and Dagenham
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1594,1594,0,100.6,609,2.6,0.16078982084817064,0,0,0,0.0,E09000002,Barking and Dagenham
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1597,1597,0,91.9,612,2.6,0.17350149831377482,0,0,0,0.0,E09000002,Barking and Dagenham
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1407,1407,0,76.5,504,2.8,0.18181781315970735,0,0,0,0.0,E09000002,Barking and Dagenham
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1834,1773,61,98.0,650,2.7,0.1884144299032812,0,0,0,0.0,E09000002,Barking and Dagenham
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1579,1579,0,93.3,593,2.7,0.1713512031627934,0,0,0,0.0,E09000002,Barking and Dagenham
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1314,1314,0,102.4,474,2.8,0.12835300121697177,0,0,0,0.0,E09000002,Barking and Dagenham
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1112,1112,0,53.7,500,2.2,0.21338943599553095,3,3,0,14.058802798760992,E09000002,Barking and Dagenham
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1336,1325,11,103.9,456,2.9,0.127930957966181,2,2,0,15.633432531074355,E09000002,Barking and Dagenham
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1609,1609,0,104.9,629,2.6,0.1505781148938308,1,1,0,6.64107131839894,E09000002,Barking and Dagenham
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1709,1688,21,11.6,641,2.6,1.4819370985662017,0,0,0,0.0,E09000002,Barking and Dagenham
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1549,1519,30,107.7,612,2.5,0.14712224178109065,0,0,0,0.0,E09000002,Barking and Dagenham
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1602,1602,0,62.4,690,2.3,0.25301378510722267,0,0,0,0.0,E09000002,Barking and Dagenham
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1915,1915,0,66.9,770,2.5,0.2835606429662363,0,0,0,0.0,E09000002,Barking and Dagenham
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1617,1617,0,19.2,598,2.7,0.8435532697540817,1,1,0,1.185461589511148,E09000002,Barking and Dagenham
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1629,1629,0,43.4,631,2.6,0.37926625392150926,1,1,0,2.6366701220060413,E09000002,Barking and Dagenham
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1361,1361,0,93.7,533,2.6,0.14276809227346487,0,0,0,0.0,E09000002,Barking and Dagenham
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1444,1348,96,28.1,517,2.6,0.5149443670238382,0,0,0,0.0,E09000002,Barking and Dagenham
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1610,1543,67,40.5,567,2.7,0.3943782499892549,0,0,0,0.0,E09000002,Barking and Dagenham
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,0.42981569219758076,0,0,0,0.0,E09000002,Barking and Dagenham
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1688,1547,141,72.3,579,2.7,0.23751539999730034,0,0,0,0.0,E09000002,Barking and Dagenham
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1447,1447,0,67.6,563,2.6,0.2123090861316748,0,0,0,0.0,E09000002,Barking and Dagenham
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1603,1595,8,10.5,659,2.4,1.5254465945899838,0,0,0,0.0,E09000002,Barking and Dagenham
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1569,1569,0,91.9,640,2.5,0.1692941766004401,0,0,0,0.0,E09000002,Barking and Dagenham
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1682,1682,0,110.2,607,2.8,0.15165925334076008,0,0,0,0.0,E09000002,Barking and Dagenham
