id,name,modeName
n1,N1,bus
n109,N109,bus
n11,N11,bus
n113,N113,bus
n133,N133,bus
n136,N136,bus
n137,N137,bus
n140,N140,bus
n15,N15,bus
n155,N155,bus
n171,N171,bus
n18,N18,bus
n19,N19,bus
n199,N199,bus
n2,N2,bus
n20,N20,bus
n205,N205,bus
n207,N207,bus
n21,N21,bus
n22,N22,bus
n242,N242,bus
n25,N25,bus
n250,N250,bus
n253,N253,bus
n26,N26,bus
n263,N263,bus
n266,N266,bus
n27,N27,bus
n277,N277,bus
n279,N279,bus
n28,N28,bus
n29,N29,bus
n3,N3,bus
n31,N31,bus
n32,N32,bus
n33,N33,bus
n343,N343,bus
n38,N38,bus
n381,N381,bus
n41,N41,bus
n44,N44,bus
n5,N5,bus
n53,N53,bus
n55,N55,bus
n550,N550,bus
n551,N551,bus
n63,N63,bus
n65,N65,bus
n68,N68,bus
n7,N7,bus
n72,N72,bus
n73,N73,bus
n74,N74,bus
n8,N8,bus
n83,N83,bus
n86,N86,bus
n87,N87,bus
n89,N89,bus
n9,N9,bus
n91,N91,bus
n97,N97,bus
n98,N98,bus
