LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,E12000007,London,1465,1465,0,112.9,876,1.7,0.133320769,1,1,0,7.500706813,E09000001,City of London
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,E12000007,London,1436,1436,0,62.9,830,1.7,0.226191273,0,0,0,0,E09000001,City of London
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,E12000007,London,1346,1250,96,227.7,817,1.5,0.057302967,0,0,0,0,E09000001,City of London
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,E12000007,London,985,985,0,52,467,2.1,0.190738761,6,6,0,31.45663723,E09000001,City of London
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1703,1699,4,116.2,543,3.1,0.144195847,0,0,0,0,E09000002,Barking and Dagenham
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1391,1391,0,69.6,612,2.3,0.198134809,1,1,0,5.047068727,E09000002,Barking and Dagenham
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,1544,1544,0,79.1,521,3,0.193425099,0,0,0,0,E09000002,Barking and Dagenham
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1773,1773,0,138.6,638,2.8,0.128591526,3,3,0,23.32968655,E09000002,Barking and Dagenham
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,2840,2840,0,80.7,1103,2.6,0.348848342,4,4,0,11.46630072,E09000002,Barking and Dagenham
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1634,1628,6,178.2,457,3.6,0.09029768,0,0,0,0,E09000002,Barking and Dagenham
